wordform,sum_freq,norm_freq,log_freq,sqrt_freq,Moby_pron,Rep_P,Rep_O
naught,446,0.991111111,0.063007137,21.11871208,n/A/t,_/_/n/a/t/_/_/,_/_/n/a/u/g/h/t/
nave,759,1.686666667,0.090417717,27.54995463,n/eI/v,_/_/n/e/v/_/_/,_/_/n/a/v/e/_/_/
nay,999,2.22,0.106984374,31.60696126,n/eI/,_/_/n/e/_/_/_/,_/_/n/a/y/_/_/_/
neap,49,0.108888889,0.05,7,n/i/p,_/_/n/i/p/_/_/,_/_/n/e/a/p/_/_/
near,77431,172.0688889,0.471500818,100,n/i/r,_/_/n/i/r/_/_/,_/_/n/e/a/r/_/_/
neat,5778,12.84,0.240390506,76.01315676,n/i/t,_/_/n/i/t/_/_/,_/_/n/e/a/t/_/_/
neck,28219,62.70888889,0.380070846,100,n/E/k,_/_/n/E/k/_/_/,_/_/n/e/c/k/_/_/
need,250234,556.0755556,0.578451323,100,n/i/d,_/_/n/i/d/_/_/,_/_/n/e/e/d/_/_/
needs,83440,185.4222222,0.478300609,100,n/i/dz,_/_/n/i/d/z/_/,_/_/n/e/e/d/s/_/
neigh,59,0.131111111,0.05,7.681145748,n/eI/,_/_/n/e/_/_/_/,_/_/n/e/i/g/h/_/
nerve,7453,16.56222222,0.262181778,86.33075929,n/@/rv,_/_/n/^/r/v/_/,_/_/n/e/r/v/e/_/
nest,6185,13.74444444,0.24618201,78.64477096,n/E/st,_/_/n/E/s/t/_/,_/_/n/e/s/t/_/_/
net,18772,41.71555556,0.343497513,100,n/E/t,_/_/n/E/t/_/_/,_/_/n/e/t/_/_/_/
new,492754,1095.008889,0.640363977,100,n/u/,_/_/n/u/_/_/_/,_/_/n/e/w/_/_/_/
news,140880,313.0666667,0.526019947,100,n/u/z,_/_/n/u/z/_/_/,_/_/n/e/w/s/_/_/
next,234819,521.82,0.572645161,100,n/E/kst,_/_/n/E/k/s/t/,_/_/n/e/x/t/_/_/
nib,97,0.215555556,0.05,9.848857802,n/I/b,_/_/n/I/b/_/_/,_/_/n/i/b/_/_/_/
nibs,69,0.153333333,0.05,8.306623863,n/I/bz,_/_/n/I/b/z/_/,_/_/n/i/b/s/_/_/
nice,51450,114.3333333,0.434369199,100,n/i/s,_/_/n/Y/s/_/_/,_/_/n/i/c/e/_/_/
niche,3436,7.635555556,0.197237908,58.61740356,n/I/tS/,_/_/n/I/C/_/_/,_/_/n/i/c/h/e/_/
nick,240,0.533333333,0.05,15.49193338,n/I/k,_/_/n/I/k/_/_/,_/_/n/i/c/k/_/_/
niece,2197,4.882222222,0.162110773,46.87216658,n/i/s,_/_/n/i/s/_/_/,_/_/n/i/e/c/e/_/
nigh,302,0.671111111,0.05,17.3781472,n/aI/,_/_/n/Y/_/_/_/,_/_/n/i/g/h/_/_/
night,194320,431.8222222,0.555362146,100,n/aI/t,_/_/n/Y/t/_/_/,_/_/n/i/g/h/t/_/
nil,494,1.097777778,0.067781508,22.22611077,n/I/l,_/_/n/I/l/_/_/,_/_/n/i/l/_/_/_/
nine,38091,84.64666667,0.407142716,100,n/aI/n,_/_/n/Y/n/_/_/,_/_/n/i/n/e/_/_/
ninth,5695,12.65555556,0.239163056,75.46522378,n/aI/n/T/,_/_/n/Y/n/T/_/,_/_/n/i/n/t/h/_/
nip,607,1.348888889,0.078125491,24.63736999,n/I/p,_/_/n/I/p/_/_/,_/_/n/i/p/_/_/_/
nit,207,0.46,0.05,14.38749457,n/I/t,_/_/n/I/t/_/_/,_/_/n/i/t/_/_/_/
nix,270,0.6,0.05,16.43167673,n/I/ks,_/_/n/I/k/s/_/,_/_/n/i/x/_/_/_/
