wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O,sqrt_freq
week,230840,512.9777778,0.571084631,w/i/k,_/_/w/i/k/_/_/,_/_/w/e/e/k/_/_/,480.4581147
weep,3659,8.131111111,0.202342878,w/i/p,_/_/w/i/p/_/_/,_/_/w/e/e/p/_/_/,60.48966854
ninth,5695,12.65555556,0.239163056,n/aI/n/T/,_/_/n/Y/n/T/_/,_/_/n/i/n/t/h/_/,75.46522378
cease,6358,14.12888889,0.248536886,s/i/s,_/_/s/i/s/_/_/,_/_/c/e/a/s/e/_/,79.73706792
moon,26743,59.42888889,0.375235081,m/u/n,_/_/m/u/n/_/_/,_/_/m/o/o/n/_/_/,163.5328713
moor,1230,2.733333333,0.120517292,m/U/r,_/_/m/U/r/_/_/,_/_/m/o/o/r/_/_/,35.07135583
pooch,412,0.915555556,0.05946791,p/u/tS/,_/_/p/u/C/_/_/,_/_/p/o/o/c/h/_/,20.29778313
whence,515,1.144444444,0.069794421,w/E/ns,_/_/w/E/n/s/_/,_/w/h/e/n/c/e/_/,22.69361144
doze,1584,3.52,0.138010761,d/oU/z,_/_/d/o/z/_/_/,_/_/d/o/z/e/_/_/,39.79949748
tribe,12340,27.42222222,0.306226044,tr/aI/b,_/t/r/Y/b/_/_/,_/t/r/i/b/e/_/_/,111.0855526
there,1276588,2836.862222,0.72740345,/D/@/r,_/_/D/E/r/_/_/,_/t/h/e/r/e/_/_/,1000
rouse,1373,3.051111111,0.127990921,r/AU/z,_/_/r/A/z/_/_/,_/_/r/o/u/s/e/_/,37.05401463
grass,20631,45.84666667,0.351943384,gr/&/s,_/g/r/@/s/_/_/,_/g/r/a/s/s/_/_/,143.634954
taste,34584,76.85333333,0.398414432,t/eI/st,_/_/t/e/s/t/_/,_/_/t/a/s/t/e/_/,185.9677391
wife,96043,213.4288889,0.491105642,w/aI/f,_/_/w/Y/f/_/_/,_/_/w/i/f/e/_/_/,309.9080509
glimpse,8662,19.24888889,0.275205077,gl/I/mps,_/g/l/I/m/p/s/,_/g/l/i/m/p/s/e/,93.06986623
cress,229,0.508888889,0.05,kr/E/s,_/k/r/E/s/_/_/,_/c/r/e/s/s/_/_/,15.13274595
crest,3033,6.74,0.187221219,kr/E/st,_/k/r/E/s/t/_/,_/c/r/e/s/t/_/_/,55.07267925
finned,35,0.077777778,0.05,f/I/nd,_/_/f/I/n/d/_/,_/_/f/i/n/n/e/d/,5.916079783
