wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,bcLambda_0.0,bcLambda_0.1,bcLambda_0.2,bcLambda_0.3,bcLambda_0.4,bcLambda_0.5,bcLambda_0.6,bcLambda_0.7,bcLambda_0.8,bcLambda_0.9,bcLambda_1.0,Moby_pron,Rep_P,Rep_O
apt,2948,6.551111111,0.184960827,54.29548784,0.000137297,0.000258067,0.000248355,0.000229581,0.00020101,0.000164808,0.000125645,8.89E-05,5.84E-05,3.58E-05,2.07E-05,1.13E-05,/&/pt,_/_/_/@/p/t/_/,_/_/_/a/p/t/_/_/
arc,3607,8.015555556,0.201177696,60.058305,0.00015187,0.000264584,0.000257555,0.000241432,0.000214808,0.00017925,0.000139231,0.000100386,6.73E-05,4.21E-05,2.48E-05,1.39E-05,/A/rk,_/_/_/a/r/k/_/,_/_/_/a/r/c/_/_/
arch,3373,7.495555556,0.195742546,58.07753438,0.000146861,0.000262417,0.000254476,0.000237439,0.000210127,0.000174319,0.000134562,9.64E-05,6.42E-05,3.99E-05,2.34E-05,1.30E-05,/A/r/tS/,_/_/_/a/r/C/_/,_/_/_/a/r/c/h/_/
are,2104334,4676.297778,0.77311722,1000,0.002528707,0.00047032,0.000667773,0.001012883,0.001567467,0.002372918,0.003417545,0.004617264,0.005827729,0.006886644,0.007663636,0.008091634,/A/r,_/_/_/a/r/_/_/,_/_/_/a/r/e/_/_/
ark,1139,2.531111111,0.115422425,33.74907406,8.53E-05,0.000227347,0.000207405,0.00017973,0.000146122,0.000110435,7.72E-05,4.99E-05,2.99E-05,1.67E-05,8.78E-06,4.38E-06,/A/rk,_/_/_/a/r/k/_/,_/_/_/a/r/k/_/_/
arm,41801,92.89111111,0.41555096,204.4529286,0.000517001,0.000343728,0.000385434,0.000430923,0.000469833,0.000489325,0.000479645,0.000439101,0.000374898,0.00029949,0.000225253,0.00016073,/A/rm,_/_/_/a/r/m/_/,_/_/_/a/r/m/_/_/
armed,19605,43.56666667,0.347378712,140.017856,0.000354064,0.000319271,0.000342522,0.000362186,0.000370277,0.000359629,0.000327738,0.000278516,0.000220578,0.0001634,0.000113947,7.54E-05,/A/rmd,_/_/_/a/r/m/d/,_/_/_/a/r/m/e/d/
arse,187,0.415555556,0.05,13.67479433,3.46E-05,0.000168982,0.000139556,0.000107561,7.66E-05,5.00E-05,2.99E-05,1.64E-05,8.29E-06,3.89E-06,1.72E-06,7.15E-07,/A/rs,_/_/_/a/r/s/_/,_/_/_/a/r/s/e/_/
art,94867,210.8155556,0.489983789,308.0048701,0.000778854,0.000370203,0.000435696,0.000518048,0.000606399,0.000681884,0.000723772,0.000718466,0.000665539,0.000576988,0.000471001,0.000364781,/A/rt,_/_/_/a/r/t/_/,_/_/_/a/r/t/_/_/
as,2747992,6106.648889,0.797528175,1000,0.002528707,0.00047894,0.000691326,0.001071606,0.001699799,0.00264103,0.003905729,0.005419205,0.007024779,0.008525679,0.00974419,0.010566643,/&/z,_/_/_/@/z/_/_/,_/_/_/a/s/_/_/_/
ash,3367,7.482222222,0.195598847,58.02585631,0.00014673,0.00026236,0.000254394,0.000237334,0.000210004,0.00017419,0.00013444,9.63E-05,6.41E-05,3.99E-05,2.33E-05,1.29E-05,/&/S/,_/_/_/@/S/_/_/,_/_/_/a/s/h/_/_/
ask,104982,233.2933333,0.499211089,324.0092591,0.000819324,0.000373476,0.0004422,0.000529844,0.000625734,0.000710376,0.000761503,0.000763541,0.000714468,0.000625705,0.000515968,0.000403676,/&/sk,_/_/_/@/s/k/_/,_/_/_/a/s/k/_/_/
ass,7336,16.30222222,0.260817217,85.65045242,0.000216585,0.000287517,0.000291444,0.000287149,0.000270571,0.000240425,0.000199566,0.00015409,0.000110739,7.44E-05,4.70E-05,2.82E-05,/&/s,_/_/_/@/s/_/_/,_/_/_/a/s/s/_/_/
at,2275149,5055.886667,0.780256072,1000,0.002528707,0.000472841,0.000674596,0.001029733,0.001605077,0.002448388,0.003553639,0.004838659,0.006154982,0.007330338,0.008221301,0.008748456,/@/t,_/_/_/@/t/_/_/,_/_/_/a/t/_/_/_/
ate,11514,25.58666667,0.300118169,107.3033084,0.000271339,0.000302078,0.000314244,0.000319734,0.000312664,0.00028932,0.000250613,0.000202176,0.000151904,0.000106722,7.06E-05,4.43E-05,/eI/t,_/_/_/e/t/_/_/,_/_/_/a/t/e/_/_/
aunt,14066,31.25777778,0.317807316,118.6001686,0.000299905,0.000308545,0.000324705,0.000335175,0.000333264,0.000314028,0.000277245,0.000228075,0.000174788,0.00012527,8.45E-05,5.41E-05,/&/nt,_/_/_/a/n/t/_/,_/_/_/a/u/n/t/_/
aw,1474,3.275555556,0.132924216,38.39270764,9.71E-05,0.000235676,0.000218125,0.000192323,0.000159492,0.000123197,8.82E-05,5.84E-05,3.59E-05,2.06E-05,1.11E-05,5.66E-06,/O/,_/_/_/a/_/_/_/,_/_/_/a/w/_/_/_/
awe,3173,7.051111111,0.190826617,56.32938842,0.00014244,0.000260443,0.000251688,0.000233846,0.000205944,0.000169939,0.00013044,9.29E-05,6.15E-05,3.80E-05,2.21E-05,1.22E-05,/O/,_/_/_/a/_/_/_/,_/_/_/a/w/e/_/_/
awed,805,1.788888889,0.093834062,28.37252192,7.17E-05,0.000216136,0.000193404,0.000163772,0.000129683,9.52E-05,6.45E-05,4.04E-05,2.34E-05,1.27E-05,6.42E-06,3.09E-06,/O/d,_/_/_/a/d/_/_/,_/_/_/a/w/e/d/_/
awl,94,0.208888889,0.05,9.695359715,2.45E-05,0.000146763,0.000116783,8.63E-05,5.85E-05,3.63E-05,2.05E-05,1.06E-05,5.04E-06,2.22E-06,9.16E-07,3.58E-07,/O/l,_/_/_/a/l/_/_/,_/_/_/a/w/l/_/_/
ax,1438,3.195555556,0.131196164,37.92097045,9.59E-05,0.000234877,0.000217085,0.000191087,0.000158164,0.000121915,8.70E-05,5.75E-05,3.52E-05,2.02E-05,1.08E-05,5.53E-06,/&/ks,_/_/_/@/k/s/_/,_/_/_/a/x/_/_/_/
axe,1520,3.377777778,0.13508582,38.98717738,9.86E-05,0.000236669,0.000219422,0.000193868,0.000161155,0.000124808,8.96E-05,5.95E-05,3.66E-05,2.11E-05,1.14E-05,5.84E-06,/&/ks,_/_/_/@/k/s/_/,_/_/_/a/x/e/_/_/
ay,481,1.068888889,0.066512853,21.9317122,5.55E-05,0.000199501,0.000173504,0.000142044,0.000108237,7.62E-05,4.93E-05,2.94E-05,1.63E-05,8.36E-06,4.04E-06,1.85E-06,/eI/,_/_/_/e/_/_/_/,_/_/_/a/y/_/_/_/
aye,2031,4.513333333,0.156185532,45.06661736,0.00011396,0.000246031,0.000231845,0.000208912,0.000177623,0.000141013,0.000103888,7.09E-05,4.49E-05,2.66E-05,1.48E-05,7.81E-06,/eI/,_/_/_/e/_/_/_/,_/_/_/a/y/e/_/_/
babe,3260,7.244444444,0.192997578,57.09640969,0.00014438,0.000261317,0.00025292,0.000235431,0.000207786,0.000171864,0.000132249,9.44E-05,6.27E-05,3.89E-05,2.27E-05,1.25E-05,b/eI/b,_/_/b/e/b/_/_/,_/_/b/a/b/e/_/_/
back,569485,1265.522222,0.653593092,754.6422994,0.001908269,0.000428098,0.000561078,0.000766492,0.001052502,0.001403927,0.001776731,0.00210728,0.002334169,0.002420442,0.002363544,0.002189794,b/&/k,_/_/b/@/k/_/_/,_/_/b/a/c/k/_/_/
backed,10033,22.29555556,0.288028281,100.1648641,0.000253288,0.00029763,0.000307171,0.000309468,0.000299198,0.00027344,0.000233784,0.000186087,0.000137927,9.56E-05,6.23E-05,3.86E-05,b/&/kt,_/_/b/@/k/t/_/,_/_/b/a/c/k/e/d/
bad,99460,221.0222222,0.494289362,315.3727953,0.000797485,0.00037173,0.000438723,0.000523523,0.000615349,0.000695037,0.000741142,0.000739161,0.000687941,0.000599232,0.000491476,0.000382442,b/&/d,_/_/b/@/d/_/_/,_/_/b/a/d/_/_/_/
bade,316,0.702222222,0.05,17.77638883,4.50E-05,0.000185929,0.000158011,0.000125903,9.30E-05,6.33E-05,3.96E-05,2.27E-05,1.21E-05,5.96E-06,2.76E-06,1.21E-06,b/&/d,_/_/b/e/d/_/_/,_/_/b/a/d/e/_/_/
badge,2530,5.622222222,0.172951771,50.29910536,0.000127192,0.000253127,0.000241505,0.000220912,0.000191095,0.000154612,0.000116224,8.10E-05,5.24E-05,3.17E-05,1.80E-05,9.72E-06,b/&/dZ/,_/_/b/@/J/_/_/,_/_/b/a/d/g/e/_/
bag,31866,70.81333333,0.391026175,178.5105039,0.000451401,0.000334962,0.000369678,0.000405081,0.000431523,0.000438265,0.000418486,0.000373009,0.000309998,0.000241031,0.000176437,0.000122528,b/&/g,_/_/b/@/g/_/_/,_/_/b/a/g/_/_/_/
bah,496,1.102222222,0.067975133,22.27105745,5.63E-05,0.000200493,0.000174662,0.000143278,0.000109426,7.72E-05,5.01E-05,3.00E-05,1.66E-05,8.57E-06,4.15E-06,1.90E-06,b/A/,_/_/b/a/_/_/_/,_/_/b/a/h/_/_/_/
baht,129,0.286666667,0.05,11.35781669,2.87E-05,0.000156988,0.000127068,9.57E-05,6.64E-05,4.21E-05,2.44E-05,1.30E-05,6.34E-06,2.88E-06,1.22E-06,4.92E-07,b/A/t,_/_/b/a/t/_/_/,_/_/b/a/h/t/_/_/
