wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,bcLambda_0.0,bcLambda_0.1,bcLambda_0.2,bcLambda_0.3,bcLambda_0.4,bcLambda_0.5,bcLambda_0.6,bcLambda_0.7,bcLambda_0.8,bcLambda_0.9,bcLambda_1.0,Moby_pron,Rep_P,Rep_O
quest,7466,16.59111111,0.262332147,86.40601831,0.000218495,0.000288084,0.000292313,0.000288365,0.000272106,0.00024217,0.000201347,0.00015573,0.000112112,7.54E-05,4.78E-05,2.87E-05,kw/E/st,_/k/w/E/s/t/_/,_/_/q/u/e/s/t/_/
queue,806,1.791111111,0.093906932,28.39013913,7.18E-05,0.000216176,0.000193453,0.000163827,0.000129739,9.53E-05,6.46E-05,4.04E-05,2.34E-05,1.27E-05,6.43E-06,3.10E-06,k/j/u/,_/_/k/W/_/_/_/,_/_/q/u/e/u/e/_/
quiche,250,0.555555556,0.05,15.8113883,4.00E-05,0.000178361,0.00014965,0.000117474,8.54E-05,5.70E-05,3.49E-05,1.96E-05,1.02E-05,4.93E-06,2.23E-06,9.57E-07,k/i/S/,_/_/k/i/S/_/_/,_/_/q/u/i/c/h/e/
quick,34977,77.72666667,0.399435001,187.0213892,0.000472922,0.000337971,0.000375038,0.000413794,0.000444323,0.00045517,0.00043855,0.000394493,0.0003309,0.000259684,0.000191868,0.000134491,kw/I/k,_/k/w/I/k/_/_/,_/_/q/u/i/c/k/_/
quid,566,1.257777778,0.074506102,23.79075451,6.02E-05,0.000204757,0.000179681,0.00014867,0.000114659,8.18E-05,5.37E-05,3.25E-05,1.82E-05,9.53E-06,4.67E-06,2.17E-06,kw/I/d,_/k/w/I/d/_/_/,_/_/q/u/i/d/_/_/
quill,281,0.624444444,0.05,16.76305461,4.24E-05,0.000182137,0.000153797,0.00012163,8.91E-05,6.01E-05,3.72E-05,2.11E-05,1.11E-05,5.42E-06,2.48E-06,1.08E-06,kw/I/l,_/k/w/I/l/_/_/,_/_/q/u/i/l/l/_/
quilt,2751,6.113333333,0.179496819,52.44997617,0.000132631,0.000255833,0.000245244,0.000225627,0.000196469,0.000160119,0.000121295,8.52E-05,5.56E-05,3.39E-05,1.94E-05,1.06E-05,kw/I/lt,_/k/w/I/l/t/_/,_/_/q/u/i/l/t/_/
quint,275,0.611111111,0.05,16.58312395,4.19E-05,0.00018144,0.000153028,0.000120855,8.84E-05,5.95E-05,3.67E-05,2.08E-05,1.09E-05,5.32E-06,2.43E-06,1.05E-06,kw/I/nt,_/k/w/I/n/t/_/,_/_/q/u/i/n/t/_/
quip,270,0.6,0.05,16.43167673,4.16E-05,0.000180847,0.000152375,0.000120199,8.78E-05,5.90E-05,3.64E-05,2.06E-05,1.08E-05,5.24E-06,2.39E-06,1.03E-06,kw/I/p,_/k/w/I/p/_/_/,_/_/q/u/i/p/_/_/
quirk,664,1.475555556,0.082930664,25.76819745,6.52E-05,0.000209916,0.000185842,0.000155384,0.000121274,8.76E-05,5.84E-05,3.59E-05,2.04E-05,1.08E-05,5.40E-06,2.55E-06,kw/@/rk,_/k/w/^/r/k/_/,_/_/q/u/i/r/k/_/
quirt,40,0.088888889,0.05,6.32455532,1.60E-05,0.000119163,9.06E-05,6.36E-05,4.07E-05,2.37E-05,1.26E-05,6.05E-06,2.67E-06,1.09E-06,4.16E-07,1.50E-07,kw/@/rt,_/k/w/^/r/t/_/,_/_/q/u/i/r/t/_/
quit,12858,28.57333333,0.309858277,113.3931215,0.000286738,0.000305644,0.000319987,0.000328173,0.000323871,0.0003027,0.00026497,0.000216073,0.000164127,0.000116583,7.79E-05,4.94E-05,kw/I/t,_/k/w/I/t/_/_/,_/_/q/u/i/t/_/_/
quite,79205,176.0111111,0.473561383,281.4338288,0.000711664,0.000364374,0.000424274,0.000497622,0.000573386,0.000633913,0.00066113,0.00064467,0.000586544,0.000499424,0.000400399,0.000304557,kw/aI/t,_/k/w/Y/t/_/_/,_/_/q/u/i/t/e/_/
quits,760,1.688888889,0.090493358,27.5680975,6.97E-05,0.000214278,0.000191129,0.000161233,0.00012712,9.29E-05,6.26E-05,3.90E-05,2.25E-05,1.21E-05,6.10E-06,2.92E-06,kW/I/ts,_/k/w/I/t/s/_/,_/_/q/u/i/t/s/_/
quiz,1990,4.422222222,0.154661006,44.60941605,0.000112804,0.000245372,0.000230959,0.000207825,0.000176416,0.000139811,0.00010281,7.00E-05,4.43E-05,2.62E-05,1.45E-05,7.65E-06,kw/I/z,_/k/w/I/z/_/_/,_/_/q/u/i/z/_/_/
quote,12044,26.76444444,0.304083844,109.7451593,0.000277513,0.000303532,0.000316578,0.000323151,0.000317188,0.000294703,0.000256369,0.00020773,0.000156773,0.000110637,7.35E-05,4.63E-05,kw/oU/t,_/k/w/o/t/_/_/,_/_/q/u/o/t/e/_/
race,56831,126.2911111,0.443394508,238.3925334,0.000602825,0.000353651,0.000403791,0.000461916,0.000517127,0.000554215,0.000559659,0.000528113,0.00046488,0.00038293,0.000296986,0.000218524,r/eI/s,_/_/r/e/s/_/_/,_/_/r/a/c/e/_/_/
rack,6523,14.49555556,0.250727764,80.76509147,0.000204231,0.000283722,0.000285669,0.00027913,0.000260505,0.000229067,0.000188048,0.000143554,0.000101981,6.77E-05,4.23E-05,2.51E-05,r/&/k,_/_/r/@/k/_/_/,_/_/r/a/c/k/_/_/
rad,174,0.386666667,0.05,13.19090596,3.34E-05,0.000166654,0.000137096,0.000105188,7.45E-05,4.84E-05,2.87E-05,1.57E-05,7.87E-06,3.67E-06,1.61E-06,6.65E-07,r/&/d,_/_/r/@/d/_/_/,_/_/r/a/d/_/_/_/
raft,2433,5.406666667,0.16992426,49.32544982,0.00012473,0.000251865,0.000239771,0.000218738,0.000188632,0.000152104,0.000113928,7.91E-05,5.10E-05,3.07E-05,1.74E-05,9.35E-06,r/&/ft,_/_/r/@/f/t/_/,_/_/r/a/f/t/_/_/
rag,2073,4.606666667,0.157721338,45.53020975,0.000115133,0.000246692,0.000232736,0.000210008,0.000178841,0.000142231,0.000104981,7.18E-05,4.56E-05,2.70E-05,1.51E-05,7.97E-06,r/&/g,_/_/r/@/g/_/_/,_/_/r/a/g/_/_/_/
rage,7884,17.52,0.267039891,88.79189152,0.000224529,0.000289844,0.000295019,0.000292162,0.000276922,0.00024766,0.000206972,0.000160929,0.000116478,7.88E-05,5.02E-05,3.03E-05,r/eI/dZ/,_/_/r/e/J/_/_/,_/_/r/a/g/e/_/_/
rah,78,0.173333333,0.05,8.831760866,2.23E-05,0.000140736,0.00011087,8.10E-05,5.42E-05,3.32E-05,1.85E-05,9.39E-06,4.39E-06,1.90E-06,7.72E-07,2.96E-07,r/A/,_/_/r/a/_/_/_/,_/_/r/a/h/_/_/_/
raid,4044,8.986666667,0.210536863,63.59245238,0.000160807,0.000268278,0.000262853,0.000248365,0.000223007,0.00018797,0.000147563,0.000107569,7.29E-05,4.62E-05,2.75E-05,1.55E-05,r/eI/d,_/_/r/e/d/_/_/,_/_/r/a/i/d/_/_/
rail,7952,17.67111111,0.267783345,89.17398724,0.000225495,0.000290121,0.000295447,0.000292764,0.000277688,0.000248536,0.000207872,0.000161765,0.000117182,7.94E-05,5.06E-05,3.06E-05,r/eI/l,_/_/r/e/l/_/_/,_/_/r/a/i/l/_/_/
rain,27408,60.90666667,0.377445486,165.5536167,0.000418637,0.000330094,0.000361112,0.000391325,0.000411558,0.000412215,0.000387939,0.000340696,0.000278939,0.000213648,0.000154056,0.000105386,r/eI/n,_/_/r/e/n/_/_/,_/_/r/a/i/n/_/_/
rains,3318,7.373333333,0.194416784,57.6020833,0.000145659,0.000261886,0.000253724,0.000236468,0.000208995,0.00017313,0.000133441,9.54E-05,6.35E-05,3.94E-05,2.30E-05,1.28E-05,r/eI/nz,_/_/r/e/n/z/_/,_/_/r/a/i/n/s/_/
raise,32945,73.21111111,0.394030982,181.5075756,0.000458979,0.000336038,0.000371589,0.000408177,0.000436058,0.000444236,0.000425551,0.000380551,0.000317314,0.00024754,0.000181805,0.000126677,r/eI/z,_/_/r/e/z/_/_/,_/_/r/a/i/s/e/_/
raised,45072,100.16,0.42237301,212.3016722,0.000536849,0.000346162,0.000389885,0.00043835,0.000481033,0.000504511,0.000498149,0.00045944,0.000395212,0.000318099,0.000241057,0.000173308,r/eI/zd,_/_/r/e/z/d/_/,_/_/r/a/i/s/e/d/
rake,1335,2.966666667,0.126063718,36.53765181,9.24E-05,0.000232476,0.000213974,0.000187408,0.000154233,0.000118138,8.38E-05,5.50E-05,3.34E-05,1.90E-05,1.01E-05,5.13E-06,r/eI/k,_/_/r/e/k/_/_/,_/_/r/a/k/e/_/_/
raked,908,2.017777778,0.101050404,30.13303835,7.62E-05,0.000220025,0.000198206,0.000169183,0.000135193,0.000100253,6.87E-05,4.35E-05,2.55E-05,1.39E-05,7.16E-06,3.49E-06,r/eI/kt,_/_/r/e/k/t/_/,_/_/r/a/k/e/d/_/
ram,3351,7.446666667,0.195214544,57.88782255,0.000146381,0.000262206,0.000254177,0.000237052,0.000209676,0.000173845,0.000134114,9.60E-05,6.39E-05,3.97E-05,2.32E-05,1.29E-05,r/&/m,_/_/r/@/m/_/_/,_/_/r/a/m/_/_/_/
ramp,3192,7.093333333,0.191305151,56.49778757,0.000142866,0.000260636,0.000251959,0.000234195,0.000206349,0.000170362,0.000130837,9.32E-05,6.18E-05,3.82E-05,2.22E-05,1.23E-05,r/&/mp,_/_/r/@/m/p/_/,_/_/r/a/m/p/_/_/
ran,45963,102.14,0.424146402,214.3898318,0.000542129,0.000346795,0.000391046,0.000440298,0.000483985,0.000508532,0.000503072,0.000464877,0.000400668,0.000323121,0.000245342,0.000176734,r/&/n,_/_/r/@/n/_/_/,_/_/r/a/n/_/_/_/
ranch,10352,23.00444444,0.290770762,101.7447787,0.000257283,0.000298641,0.00030877,0.000311777,0.000302211,0.000276973,0.000237508,0.000189628,0.000140987,9.80E-05,6.41E-05,3.98E-05,r/&/n/tS/,_/_/r/@/n/C/_/,_/_/r/a/n/c/h/_/
rang,5995,13.32222222,0.243523914,77.42738534,0.000195791,0.000280996,0.000281561,0.000273482,0.000253488,0.000221229,0.00018018,0.000136428,9.61E-05,6.33E-05,3.92E-05,2.30E-05,r/&/N/,_/_/r/@/G/_/_/,_/_/r/a/n/g/_/_/
range,50736,112.7466667,0.43310184,225.2465316,0.000569582,0.000349986,0.000396945,0.000450247,0.00049915,0.000529315,0.000528667,0.000493313,0.000429374,0.000349702,0.000268159,0.000195087,r/eI/n/dZ/,_/_/r/e/n/J/_/,_/_/r/a/n/g/e/_/
ranged,5340,11.86666667,0.23371893,73.07530363,0.000184786,0.000277258,0.000275987,0.000265894,0.000244154,0.000210905,0.000169919,0.000127228,8.86E-05,5.77E-05,3.53E-05,2.05E-05,r/eI/n/dZ/d,_/_/r/e/n/J/d/,_/_/r/a/n/g/e/d/
rank,8139,18.08666667,0.269797229,90.21640649,0.000228131,0.000290872,0.000296607,0.0002944,0.000279772,0.000250923,0.00021033,0.000164047,0.000119108,8.08E-05,5.16E-05,3.13E-05,r/A/N/k,_/_/r/a/G/k/_/,_/_/r/a/n/k/_/_/
rant,616,1.368888889,0.078901183,24.81934729,6.28E-05,0.000207492,0.000182935,0.000152203,0.000118126,8.48E-05,5.62E-05,3.43E-05,1.94E-05,1.02E-05,5.05E-06,2.36E-06,r/&/nt,_/_/r/@/n/t/_/,_/_/r/a/n/t/_/_/
rap,5826,12.94666667,0.241092913,76.32823855,0.000193012,0.000280072,0.000280177,0.000271591,0.000251151,0.000218632,0.000177588,0.000134094,9.42E-05,6.19E-05,3.82E-05,2.24E-05,r/&/p,_/_/r/@/p/_/_/,_/_/r/a/p/_/_/_/
rape,10012,22.24888889,0.287844824,100.059982,0.000253022,0.000297563,0.000307064,0.000309314,0.000298997,0.000273205,0.000233536,0.000185852,0.000137725,9.54E-05,6.22E-05,3.85E-05,r/eI/p,_/_/r/e/p/_/_/,_/_/r/a/p/e/_/_/
rapt,606,1.346666667,0.078038896,24.61706725,6.22E-05,0.000206963,0.000182304,0.000151515,0.000117449,8.42E-05,5.57E-05,3.39E-05,1.91E-05,1.01E-05,4.97E-06,2.33E-06,r/&/pt,_/_/r/@/p/t/_/,_/_/r/a/p/t/_/_/
rare,21368,47.48444444,0.355087201,146.1779737,0.000369641,0.000322052,0.00034724,0.00036949,0.000380494,0.000372478,0.000342261,0.000293323,0.000234296,0.000175058,0.00012313,8.22E-05,r/@/r,_/_/r/E/r/_/_/,_/_/r/a/r/e/_/_/
rash,2202,4.893333333,0.162283424,46.92547283,0.000118661,0.000248642,0.000235375,0.000213267,0.000182477,0.000145879,0.00010827,7.45E-05,4.76E-05,2.84E-05,1.59E-05,8.46E-06,r/&/S/,_/_/r/@/S/_/_/,_/_/r/a/s/h/_/_/
rasp,348,0.773333333,0.052409914,18.65475811,4.72E-05,0.000189045,0.000161511,0.00012949,9.64E-05,6.61E-05,4.16E-05,2.41E-05,1.29E-05,6.44E-06,3.01E-06,1.33E-06,r/&/sp,_/_/r/@/s/p/_/,_/_/r/a/s/p/_/_/
rat,4924,10.94222222,0.226897604,70.17121917,0.000177442,0.000274638,0.000272117,0.000260679,0.000237801,0.000203948,0.000163073,0.00012115,8.37E-05,5.41E-05,3.28E-05,1.89E-05,r/&/t,_/_/r/@/t/_/_/,_/_/r/a/t/_/_/_/
rate,58774,130.6088889,0.446446355,242.433496,0.000613043,0.000354737,0.000405834,0.000465425,0.000522573,0.000561813,0.000569186,0.000538889,0.000475955,0.00039337,0.00030611,0.000225995,r/eI/t,_/_/r/e/t/_/_/,_/_/r/a/t/e/_/_/
rave,998,2.217777778,0.106921213,31.591138,7.99E-05,0.000223078,0.000202016,0.000173523,0.00013966,0.000104387,7.21E-05,4.60E-05,2.72E-05,1.50E-05,7.80E-06,3.83E-06,r/eI/v,_/_/r/e/v/_/_/,_/_/r/a/v/e/_/_/
raw,13177,29.28222222,0.312025423,114.7911146,0.000290273,0.000306436,0.000321271,0.000330071,0.000326409,0.000305751,0.000268265,0.000219285,0.00016697,0.000118892,7.97E-05,5.07E-05,r/O/,_/_/r/a/_/_/_/,_/_/r/a/w/_/_/_/
ray,1458,3.24,0.132160219,38.18376618,9.66E-05,0.000235323,0.000217666,0.000191777,0.000158905,0.00012263,8.77E-05,5.80E-05,3.56E-05,2.04E-05,1.10E-05,5.60E-06,r/eI/,_/_/r/e/_/_/_/,_/_/r/a/y/_/_/_/
raze,141,0.313333333,0.05,11.87434209,3.00E-05,0.000159861,0.000130018,9.85E-05,6.87E-05,4.39E-05,2.56E-05,1.37E-05,6.76E-06,3.09E-06,1.33E-06,5.38E-07,r/eI/z,_/_/r/e/z/_/_/,_/_/r/a/z/e/_/_/
razz,32,0.071111111,0.05,5.656854249,1.43E-05,0.000111955,8.41E-05,5.82E-05,3.68E-05,2.11E-05,1.10E-05,5.20E-06,2.25E-06,9.03E-07,3.38E-07,1.19E-07,r/&/z,_/_/r/@/z/_/_/,_/_/r/a/z/z/_/_/
re,5042,11.20444444,0.228884721,71.0070419,0.000179556,0.000275403,0.000273244,0.000262193,0.00023964,0.000205956,0.000165043,0.000122894,8.51E-05,5.51E-05,3.36E-05,1.94E-05,r/i/,_/_/r/i/_/_/_/,_/_/r/e/_/_/_/_/
reach,43690,97.08888889,0.419552497,209.02153,0.000528554,0.000345156,0.000388041,0.000435267,0.000476373,0.000498178,0.000490416,0.000450921,0.000386685,0.000310271,0.000234395,0.000167994,r/i/tS/,_/_/r/i/C/_/_/,_/_/r/e/a/c/h/_/
read,93372,207.4933333,0.488537473,305.568323,0.000772693,0.00036969,0.000434682,0.00051622,0.00060342,0.000677521,0.000718028,0.000711644,0.000658177,0.000569701,0.000464315,0.000359032,r/i/d,_/_/r/i/d/_/_/,_/_/r/e/a/d/_/_/
realm,6771,15.04666667,0.253925077,82.28608631,0.000208077,0.000284928,0.000287496,0.000281657,0.000263664,0.000232618,0.000191634,0.000146821,0.000104686,6.98E-05,4.38E-05,2.60E-05,r/E/lm,_/_/r/E/l/m/_/,_/_/r/e/a/l/m/_/
ream,111,0.246666667,0.05,10.53565375,2.66E-05,0.000152133,0.000122144,9.11E-05,6.26E-05,3.93E-05,2.25E-05,1.18E-05,5.68E-06,2.54E-06,1.07E-06,4.23E-07,r/i/m,_/_/r/i/m/_/_/,_/_/r/e/a/m/_/_/
reap,1654,3.675555556,0.141106349,40.66939882,0.000102841,0.000239398,0.000223006,0.000198164,0.000165809,0.00012934,9.35E-05,6.26E-05,3.89E-05,2.26E-05,1.23E-05,6.36E-06,r/i/p,_/_/r/i/p/_/_/,_/_/r/e/a/p/_/_/
rear,13105,29.12222222,0.311540753,114.4770719,0.000289479,0.000306259,0.000320983,0.000329646,0.00032584,0.000305067,0.000267525,0.000218562,0.00016633,0.000118372,7.93E-05,5.04E-05,r/i/r,_/_/r/i/r/_/_/,_/_/r/e/a/r/_/_/
reb,281,0.624444444,0.05,16.76305461,4.24E-05,0.000182137,0.000153797,0.00012163,8.91E-05,6.01E-05,3.72E-05,2.11E-05,1.11E-05,5.42E-06,2.48E-06,1.08E-06,r/E/b,_/_/r/E/b/_/_/,_/_/r/e/b/_/_/_/
red,90098,200.2177778,0.485287885,300.1632889,0.000759025,0.000368537,0.00043241,0.000512134,0.000596779,0.000667816,0.000705285,0.00069655,0.000641931,0.000553662,0.000449636,0.000346443,r/E/d,_/_/r/E/d/_/_/,_/_/r/e/d/_/_/_/
redd,23,0.051111111,0.05,4.795831523,1.21E-05,0.000101287,7.48E-05,5.08E-05,3.14E-05,1.76E-05,8.95E-06,4.13E-06,1.74E-06,6.79E-07,2.47E-07,8.46E-08,r/E/d,_/_/r/E/d/_/_/,_/_/r/e/d/d/_/_/
reed,844,1.875555556,0.096633835,29.05167809,7.35E-05,0.000217664,0.000195284,0.000165883,0.000131824,9.72E-05,6.61E-05,4.16E-05,2.42E-05,1.31E-05,6.70E-06,3.24E-06,r/i/d,_/_/r/i/d/_/_/,_/_/r/e/e/d/_/_/
reef,2534,5.631111111,0.173074491,50.33885179,0.000127292,0.000253179,0.000241576,0.000221001,0.000191195,0.000154714,0.000116318,8.11E-05,5.25E-05,3.17E-05,1.81E-05,9.74E-06,r/i/f,_/_/r/i/f/_/_/,_/_/r/e/e/f/_/_/
reek,344,0.764444444,0.051950175,18.54723699,4.69E-05,0.000188672,0.000161089,0.000129056,9.60E-05,6.57E-05,4.14E-05,2.39E-05,1.28E-05,6.38E-06,2.98E-06,1.32E-06,r/i/k,_/_/r/i/k/_/_/,_/_/r/e/e/k/_/_/
reel,2262,5.026666667,0.164330221,47.5604878,0.000120267,0.00024951,0.000236555,0.00021473,0.000184118,0.000147532,0.000109768,7.57E-05,4.85E-05,2.90E-05,1.63E-05,8.69E-06,r/i/l,_/_/r/i/l/_/_/,_/_/r/e/e/l/_/_/
ref,637,1.415555556,0.080685957,25.23885893,6.38E-05,0.000208575,0.000184231,0.000153618,0.000119524,8.61E-05,5.71E-05,3.50E-05,1.98E-05,1.05E-05,5.20E-06,2.45E-06,r/E/f,_/_/r/E/f/_/_/,_/_/r/e/f/_/_/_/
reign,2980,6.622222222,0.185818366,54.58937626,0.000138041,0.000258416,0.000248843,0.000230203,0.000201727,0.000165551,0.000126338,8.94E-05,5.88E-05,3.62E-05,2.09E-05,1.15E-05,r/eI/n,_/_/r/e/n/_/_/,_/_/r/e/i/g/n/_/
rein,1519,3.375555556,0.135039368,38.97435054,9.86E-05,0.000236647,0.000219394,0.000193834,0.00016112,0.000124773,8.95E-05,5.94E-05,3.66E-05,2.11E-05,1.14E-05,5.84E-06,r/eI/n,_/_/r/e/n/_/_/,_/_/r/e/i/n/_/_/
reins,1648,3.662222222,0.140845079,40.59556626,0.000102654,0.00023928,0.000222851,0.000197977,0.000165606,0.000129142,9.33E-05,6.25E-05,3.88E-05,2.25E-05,1.23E-05,6.33E-06,r/eI/nz,_/_/r/e/n/z/_/,_/_/r/e/i/n/s/_/
rem,673,1.495555556,0.083666826,25.94224354,6.56E-05,0.000210351,0.000186366,0.00015596,0.000121846,8.81E-05,5.88E-05,3.62E-05,2.06E-05,1.10E-05,5.47E-06,2.58E-06,r/E/m,_/_/r/E/m/_/_/,_/_/r/e/m/_/_/_/
rend,94,0.208888889,0.05,9.695359715,2.45E-05,0.000146763,0.000116783,8.63E-05,5.85E-05,3.63E-05,2.05E-05,1.06E-05,5.04E-06,2.22E-06,9.16E-07,3.58E-07,r/E/nd,_/_/r/E/n/d/_/,_/_/r/e/n/d/_/_/
rent,9829,21.84222222,0.286230366,99.14131329,0.000250699,0.000296967,0.000306124,0.00030796,0.000297236,0.000271144,0.000231371,0.000183798,0.000135955,9.40E-05,6.12E-05,3.78E-05,r/E/nt,_/_/r/E/n/t/_/,_/_/r/e/n/t/_/_/
rest,73876,164.1688889,0.467226389,271.8013981,0.000687306,0.000362124,0.000419919,0.000489932,0.000561113,0.000616303,0.000638421,0.000618254,0.000558622,0.000472353,0.000376069,0.000284066,r/E/st,_/_/r/E/s/t/_/,_/_/r/e/s/t/_/_/
retch,82,0.182222222,0.05,9.055385138,2.29E-05,0.000142351,0.000112444,8.24E-05,5.54E-05,3.40E-05,1.90E-05,9.70E-06,4.56E-06,1.98E-06,8.09E-07,3.11E-07,r/E/tS/,_/_/r/E/C/_/_/,_/_/r/e/t/c/h/_/
rhyme,1299,2.886666667,0.124199722,36.04164258,9.11E-05,0.000231593,0.000212836,0.000186069,0.000152809,0.000116777,8.26E-05,5.41E-05,3.28E-05,1.86E-05,9.89E-06,4.99E-06,r/aI/m,_/_/r/Y/m/_/_/,_/r/h/y/m/e/_/_/
rib,2102,4.671111111,0.158766926,45.84757355,0.000115935,0.000247141,0.000233342,0.000210755,0.000179672,0.000143062,0.000105729,7.24E-05,4.60E-05,2.73E-05,1.53E-05,8.08E-06,r/I/b,_/_/r/I/b/_/_/,_/_/r/i/b/_/_/_/
rice,20349,45.22,0.350711292,142.6499211,0.00036072,0.000320474,0.000344558,0.00036533,0.000374664,0.000365133,0.000333943,0.000284827,0.000226411,0.000168344,0.000117832,7.82E-05,r/aI/s,_/_/r/Y/s/_/_/,_/_/r/i/c/e/_/_/
rich,35502,78.89333333,0.400780833,188.4197442,0.000476458,0.000338452,0.0003759,0.000415202,0.000446404,0.000457933,0.000441847,0.000398041,0.000334371,0.000262798,0.000194458,0.000136509,r/I/tS/,_/_/r/I/C/_/_/,_/_/r/i/c/h/_/_/
rid,11319,25.15333333,0.29861473,106.3907891,0.000269031,0.000301526,0.000313362,0.000318445,0.000310963,0.000287302,0.000248461,0.000200107,0.000150096,0.000105273,6.95E-05,4.35E-05,r/I/d,_/_/r/I/d/_/_/,_/_/r/i/d/_/_/_/
ride,29048,64.55111111,0.382678809,170.4347382,0.000430979,0.000331971,0.0003644,0.00039658,0.000419151,0.000422075,0.000399447,0.000352811,0.00029053,0.000223818,0.000162329,0.000111692,r/aI/d,_/_/r/Y/d/_/_/,_/_/r/i/d/e/_/_/
ridge,9421,20.93555556,0.282524935,97.06183596,0.000245441,0.000295597,0.000303969,0.000304868,0.000293225,0.000266467,0.000226468,0.000179163,0.000131973,9.09E-05,5.89E-05,3.62E-05,r/I/dZ/,_/_/r/I/J/_/_/,_/_/r/i/d/g/e/_/
rife,886,1.968888889,0.099556134,29.76575213,7.53E-05,0.000219233,0.000197223,0.00016807,0.000134054,9.92E-05,6.78E-05,4.28E-05,2.50E-05,1.37E-05,7.00E-06,3.40E-06,r/aI/f,_/_/r/Y/f/_/_/,_/_/r/i/f/e/_/_/
riff,594,1.32,0.076993307,24.37211521,6.16E-05,0.000206317,0.000181534,0.000150677,0.000116626,8.35E-05,5.51E-05,3.35E-05,1.89E-05,9.91E-06,4.88E-06,2.28E-06,r/I/f,_/_/r/I/f/_/_/,_/_/r/i/f/f/_/_/
rift,1385,3.077777778,0.128591172,37.21558813,9.41E-05,0.000233664,0.000215511,0.000189221,0.000156167,0.000119993,8.54E-05,5.62E-05,3.43E-05,1.96E-05,1.05E-05,5.32E-06,r/I/ft,_/_/r/I/f/t/_/,_/_/r/i/f/t/_/_/
rig,2549,5.664444444,0.173533232,50.48762225,0.000127668,0.000253369,0.000241838,0.00022133,0.00019157,0.000155097,0.000116668,8.14E-05,5.27E-05,3.19E-05,1.82E-05,9.80E-06,r/I/g,_/_/r/I/g/_/_/,_/_/r/i/g/_/_/_/
right,506064,1124.586667,0.642800219,711.3817541,0.001798876,0.000424284,0.000552109,0.000747245,0.001015174,0.001338839,0.001674743,0.001963111,0.002148993,0.002202278,0.002125271,0.001945926,r/aI/t,_/_/r/Y/t/_/_/,_/_/r/i/g/h/t/_/
rights,71802,159.56,0.464637203,267.9589521,0.00067759,0.000361204,0.000418148,0.000486819,0.000556169,0.000609243,0.000629363,0.000607768,0.000547593,0.000461713,0.000366553,0.000276091,r/aI/ts,_/_/r/Y/t/s/_/,_/_/r/i/g/h/t/s/
rile,134,0.297777778,0.05,11.5758369,2.93E-05,0.000158216,0.000128326,9.69E-05,6.74E-05,4.29E-05,2.49E-05,1.33E-05,6.52E-06,2.97E-06,1.27E-06,5.11E-07,r/aI/l,_/_/r/Y/l/_/_/,_/_/r/i/l/e/_/_/
rill,46,0.102222222,0.05,6.782329983,1.72E-05,0.000123678,9.47E-05,6.70E-05,4.34E-05,2.55E-05,1.36E-05,6.64E-06,2.97E-06,1.23E-06,4.74E-07,1.73E-07,r/I/l,_/_/r/I/l/_/_/,_/_/r/i/l/l/_/_/
rille,19,0.042222222,0.05,4.358898944,1.10E-05,9.51E-05,6.95E-05,4.67E-05,2.86E-05,1.58E-05,7.92E-06,3.60E-06,1.50E-06,5.74E-07,2.05E-07,6.92E-08,r/i/l,_/_/r/i/l/_/_/,_/_/r/i/l/l/e/_/
rim,5390,11.97777778,0.23450559,73.41661937,0.000185649,0.000277559,0.000276433,0.000266499,0.000244894,0.000211719,0.000170724,0.000127946,8.92E-05,5.81E-05,3.56E-05,2.07E-05,r/I/m,_/_/r/I/m/_/_/,_/_/r/i/m/_/_/_/
rime,321,0.713333333,0.05,17.91647287,4.53E-05,0.000186436,0.000158578,0.000126482,9.36E-05,6.37E-05,3.99E-05,2.29E-05,1.22E-05,6.03E-06,2.80E-06,1.23E-06,r/aI/m,_/_/r/Y/m/_/_/,_/_/r/i/m/e/_/_/
rind,996,2.213333333,0.106794761,31.55946768,7.98E-05,0.000223014,0.000201935,0.00017343,0.000139564,0.000104298,7.20E-05,4.60E-05,2.72E-05,1.50E-05,7.78E-06,3.83E-06,r/aI/nd,_/_/r/Y/n/d/_/,_/_/r/i/n/d/_/_/
ring,21767,48.37111111,0.356745187,147.5364362,0.000373076,0.00032265,0.000348259,0.000371075,0.000382723,0.000375297,0.000345463,0.000296606,0.000237353,0.000177669,0.000125198,8.37E-05,r/I/N/,_/_/r/I/G/_/_/,_/_/r/i/n/g/_/_/
ringed,989,2.197777778,0.106350798,31.44837039,7.95E-05,0.000222786,0.000201649,0.000173103,0.000139226,0.000103984,7.18E-05,4.58E-05,2.71E-05,1.49E-05,7.73E-06,3.80E-06,r/I/N/d,_/_/r/I/G/d/_/,_/_/r/i/n/g/e/d/
rink,1377,3.06,0.128191442,37.10795063,9.38E-05,0.000233477,0.000215268,0.000188935,0.000155861,0.000119699,8.51E-05,5.60E-05,3.42E-05,1.95E-05,1.04E-05,5.29E-06,r/I/N/k,_/_/r/I/G/k/_/,_/_/r/i/n/k/_/_/
rinse,2445,5.433333333,0.170304273,49.44694126,0.000125037,0.000252024,0.000239989,0.000219011,0.00018894,0.000152418,0.000114215,7.93E-05,5.12E-05,3.09E-05,1.75E-05,9.40E-06,r/I/ns,_/_/r/I/n/s/_/,_/_/r/i/n/s/e/_/
